Artist,Total Songs,Total Followers (Millions),Average Tempo,Average Acousticness,Average Danceability,Average Duration (ms),Average Energy,Average Liveliness,Average Loudness,Average Mode,Average Speechiness,Average Popularity,Percent Explicit Songs (%),Dominant Song Language,Main Genre,Average Emotionalness
Playboi Carti,75,5.449663,134.73,0.115,0.747,180544.84,0.632,0.236,-6.279,0.547,0.199,60,1,English (American),Hip-Hop/Rap,25.19
Jay Chou,320,2.692951,124.966,0.214,0.55,218171.306,0.689,0.308,-7.849,0.728,0.048,25.856,0,Chinese,Pop,-2.08
Phoebe Bridgers ,35,0.909385,117.336,0.856,0.41,234052.143,0.291,0.112,-13.106,0.886,0.043,57.086,0.0286,English (American),Indie,-92.71
Lil Uzi Vert,153,12.315487,130.021,0.181,0.737,207340.667,0.636,0.215,-6.068,0.582,0.214,50.542,0.7647,English (American),Hip-Hop/Rap,22.64
soFaygo ,23,0.265045,131.734,0.075,0.631,132415.913,0.657,0.238,-8.269,0.348,0.218,47.13,1,English (American),Hip-Hop/Rap,14.43
Polo Perks ,48,0.003979,139.616,0.187,0.665,116229.646,0.514,0.224,-12.443,0.646,0.259,17.167,0.9792,English (American),US Drill,-9.18
Kanye West ,178,15.591741,113.594,0.262,0.579,237061.371,0.576,0.262,-6.633,0.551,0.194,53.983,0.3539,English (American),Hip-Hop/Rap,-6.15
Trippie Redd ,313,6.844928,121.918,0.249,0.645,170730.652,0.582,0.216,-7.561,0.546,0.135,41.121,0.7188,English (American),Hip-Hop/Rap,0.05
macMiller ,305,6.565652,118.501,0.339,0.61,213155.833,0.625,0.264,-7.838,0.577,0.247,44.148,0.6918,English (American),Hip-Hop/Rap,-3.41
Frank Ocean,68,8.45724,111.141,0.483,0.536,200877.926,0.46,0.259,-10.561,0.618,0.153,50.941,0.5,English (American),Neo Soul,-41.68
Juice WRLD ,177,20.558902,127.219,0.254,0.625,175380.215,0.599,0.243,-7.121,0.627,0.145,45.412,0.548,English (American),Melodic Rap,-0.23
XXXTentacion,196,32.112366,119.195,0.42,0.703,135963.0360,0.4520,0.1600,-9.02,0.541,0.194,47.862,0.5969,English (American),Melodic Rap,-15.76
JPEGMAFIA,118,0.41454,121.797,0.253,0.632,182284.771,0.74,0.361,-5.482,0.695,0.249,37.932,0.839,English (American),Alternative,16.44
Travis Scott ,94,18.887762,128.393,0.149,0.651,239880.67,0.626,0.207,-5.144,0.394,0.098,41.628,0.4894,English (American),Hip-Hop/Rap,14.41
BROCKHAMPTON ,118,1.880193,109.427,0.335,0.62,194587.839,0.577,0.267,-8.727,0.602,0.182,46.144,0.9492,English (American),Alternative,-10.17
Bernard Jabs ,70,0.013747,131.714,0.111,0.78,148040.186,0.577,0.189,-8.311,0.543,0.297,11.657,0.8857,English (American),Hip-Hop/Rap,22.50
Young Thug ,170,6.696284,124.967,0.13,0.792,208941.535,0.517,0.168,-8.787,0.559,0.245,43.806,0.7706,English (American),Hip-Hop/Rap,15.39
DC The Don,52,0.166063,131.544,0.234,0.685,189538.75,0.639,0.22,-6.064,0.635,0.186,26.385,0.6346,English (American),Melodic Rap,14.39
POORSTACY,43,0.142603,141.077,0.049,0.541,143132.767,0.805,0.232,-4.944,0.651,0.107,40.605,0.8837,English (American),Rock,26.14
Tyler The Creator ,196,7.290676,109.17,0.236,0.515,227533.189,0.638,0.359,-8.955,0.582,0.294,40.684,0.7602,English (American),Alternative,-10.60
Jorja Smith ,48,2.420047,104.419,0.468,0.612,223189.646,0.517,0.175,-8.447,0.417,0.131,42.917,0.0417,English (British),R&B,-21.32
Dave ,30,1.595688,108.288,0.415,0.715,297988.967,0.589,0.195,-7.332,0.333,0.308,61.333,0.9333,English (British),Hip-Hop/Rap,4.00
88GLAM,112,0.39064,128.545,0.213,0.744,181242.33,0.594,0.149,-6.535,0.446,0.092,22.241,0.5804,English (Canadian),Hip-Hop/Rap,16.15
NAV ,348,2.742336,131.99,0.187,0.82,171549.615,0.618,0.159,-6.242,0.471,0.204,27.414,0.4885,English (Canadian),Melodic Rap,29.98
Yung Bans ,85,0.621954,136.631,0.143,0.759,158789.624,0.52,0.173,-9.454,0.447,0.234,28.082,1,English (American),Melodic Rap,10.03
Ski Mask The Slump God,67,4.578046,129.273,0.2,0.817,139400.284,0.543,0.183,-8.313,0.731,0.251,46.284,0.6567,English (American),Hip-Hop/Rap,17.60
Future ,328,10.808934,133.415,0.116,0.777,203080.448,0.583,0.178,-6.931,0.576,0.235,31.198,0.6128,English (American),Hip-Hop/Rap,24.40
Elliot Smith ,272,0.702456,119.132,0.434,0.509,189588.401,0.377,0.184,-12.621,0.673,0.088,28.643,0.0919,English (American),Indie,-53.40
IDK ,330,0.30855,118.08,0.277,0.63,163407.148,0.518,0.269,-9.812,0.515,0.217,20.109,0.4879,English (American),Hip-Hop/Rap,-13.70
Jaden ,227,1.668716,121.091,0.414,0.552,222969.947,0.59,0.206,-8.108,0.502,0.152,27.352,0.3436,English (American),Hip-Hop/Rap,-17.16
Kevin Abstract ,27,0.625118,111.817,0.332,0.544,155518.519,0.628,0.268,-7.144,0.667,0.076,40.444,1,English (American),Neo Soul,-11.51
Don Toliver ,69,1.826603,121.416,0.285,0.693,200664.072,0.571,0.192,-6.929,0.362,0.108,50.826,0.7246,English (American),Melodic Rap,3.39
Saba ,23,0.525018,115.223,0.285,0.685,238217,0.587,0.27,-8.291,0.565,0.332,46.957,1,English (American),Hip-Hop/Rap,3.61
Mobb Deep,284,1.442762,106.752,0.16,0.694,220763.782,0.714,0.222,-6.955,0.518,0.333,20.028,0.6796,English (American),Hip-Hop/Rap,27.59
Nebu Kiniza ,26,0.318625,129.122,0.086,0.823,157429,0.618,0.12,-7.195,0.423,0.133,23.731,0.7308,English (American),Melodic Rap,33.17
Stormzy ,55,2.380561,116.859,0.385,0.597,215891.418,0.615,0.191,-7.462,0.582,0.258,34.636,0.4545,English (British),UK Drill,-4.84
Fumez The Engineer,14,0.247255,123.413,0.333,0.7,180433.214,0.631,0.185,-8.123,0.429,0.327,19.357,1,English (British),UK Drill,9.89
ArrDee,9,0.193371,130.932,0.418,0.743,196715.444,0.612,0.263,-8.341,0.778,0.279,57.222,0.8889,English (British),Hip-Hop/Rap,4.31
Fivio Foreign ,16,0.68536,124.596,0.05,0.736,181766.562,0.721,0.189,-6.331,0.562,0.338,31.562,0.5,English (American),US Drill,40.33
Tee Grizzley ,204,2.605285,125.058,0.181,0.775,179000.814,0.692,0.17,-6.173,0.623,0.252,27.382,0.5294,English (American),Hip-Hop/Rap,33.94
Chief Keef ,257,2.988233,132.802,0.172,0.662,193796.588,0.608,0.242,-7.596,0.599,0.181,24.572,0.856,English (American),US Drill,8.27
babyKeem ,61,0.539512,127.331,0.149,0.793,170626.951,0.545,0.164,-6.829,0.59,0.211,58.361,1,English (American),Hip-Hop/Rap,20.69
MadeInTYO,167,0.991049,130.721,0.156,0.817,169765.611,0.584,0.214,-6.665,0.617,0.248,13.832,0.6766,English (American),Hip-Hop/Rap,26.21
Pop Smoke ,298,8.144771,125.71,0.223,0.692,174494.685,0.655,0.224,-6.389,0.5,0.23,43.822,0.5906,English (American),US Drill,17.35
TOBi ,41,0.052532,114.04,0.327,0.663,204753.951,0.467,0.202,-10.409,0.512,0.198,21.22,0.5122,English (American),R&B,-17.57
Lil Boom ,36,0.091614,127.699,0.291,0.676,143769.278,0.445,0.181,-12.906,0.667,0.189,13.889,1,English (American),Hip-Hop/Rap,-21.21
Feist ,280,0.65542,116.207,0.558,0.612,238241.932,0.39,0.16,-10.17,0.596,0.092,17.489,0,English (Canadian),Pop,-42.30
Masego ,34,0.928043,104.133,0.482,0.701,208248.794,0.508,0.189,-8.734,0.235,0.204,44.941,0,English (American),R&B,-13.56
Rav ,84,0.068715,110.924,0.287,0.505,170690.845,0.747,0.303,-6.814,0.548,0.226,33,0.8571,English (American),Hip-Hop/Rap,1.35
Killval ,10,0.01829,150.805,0.16,0.654,145488.7,0.51,0.114,-9.099,0.5,0.155,27.6,1,English (American),Melodic Rap,-1.42
Lil Peep ,65,8.122562,124.013,0.097,0.587,183684.169,0.616,0.173,-6.984,0.615,0.067,58.108,0.9538,English (American),Alternative,6.33
Lil Tracy ,58,0.517601,133.672,0.115,0.733,150841.724,0.575,0.161,-8.801,0.483,0.176,33.69,1,English (American),Alternative,14.84
Gunna ,191,3.598859,128.92,0.18,0.827,176818.948,0.516,0.145,-9.171,0.471,0.249,35.927,0.6859,English (American),Melodic Rap,16.29
