Game Name,Game Genre,Peak Player Count,Current Concurrent Player Count,Days Since Release,Majority Steam Review (All Time),Majority Steam Review (Last 30 Days),24 Hour Estimated Tweet Peak
Counter-Strike: Global Offensive,Tactical Shooter,1308963,645764,3352,Very Positive,Very Positive,331
Dota 2,MOBA,1295114,632654,3030,Very Positive,Mostly Positive,73
New World,MMORPG,913634,374456,27,Mostly Positive,N/A,49
Team Fortress 2,FPS,151253,87849,5129,Very Positive,Very Positive,127
Inscryption,Puzzle/Strategy,17072,12650,6,Overwhelmingly Positive ,N/A,34
NBA 2K22,Sports,20390,10211,46,Mixed,Mixed,308
Satisfactory,Puzzle/Strategy,32831,8461,951,Overwhelmingly Positive ,Overwhelmingly Positive ,0
"BeamNG.drive
",Simulation,13572,8072,3005,Overwhelmingly Positive ,Overwhelmingly Positive ,0
Apex Legends,Battle Royale,330879,131266,994,Very Positive,Mixed,4300
Stardew Valley,Simulation,94479,26171,"2068",Overwhelmingly Positive ,Overwhelmingly Positive ,68
PUBG: BATTLEGROUNDS        ,Battle Royale,3236027,312831,"1677",Mixed,Mixed,155
Terraria,Sandbox,486918,34351,"3815",Overwhelmingly Positive ,Overwhelmingly Positive ,68
Cookie Clicker,Incremental ,67806,31034,"3000",Overwhelmingly Positive ,Overwhelmingly Positive ,0
Grand Theft Auto V,Action/Adventure,360761,108739,"2960",Very Positive,Very Positive,126
